verified,statuses,location,date_joined,most_recent_post,following,followers,likes,lists,tweet_language,tweets_this_week,retweet,retweeted_count,URL works,userNameScore,avg_tweets_by_hour_of_day,avg_ssgtweets_by_day_of_week,account_type,screen_name
0,7098,1,2009,0,166.0,125.0,12213,2,0,0.0,0.0,0.0,0,0.4285714285714286,0.0,0.0,0,paty_castroo
0,270,1,2010,2022,131.0,55.0,1484,2,1,0.0,32.0,103418.0,0,0.6428571428571428,2.0,6.857,1,CBirckner
0,14302,0,2012,2023,440.0,557.0,2958,2,1,0.0,154.0,867392.0,0,0.0,8.083,27.714,1,amf_jay
0,4585,1,2009,2023,288.0,111.0,7983,3,1,0.0,108.0,2996382.0,0,0.9090909090909092,8.167,28.0,1,SaraCavolo
1,15851,1,2010,2022,39.0,71644.0,20105,172,2,0.0,20.0,66477.0,1,0.6,8.333,28.571,1,DavidHenaoModel
0,207,0,2017,2017,0.0,0.0,30,0,3,0.0,172.0,61128.0,0,0.0,7.208,24.714,0,ndtjgaogywxeei1
0,115,0,2016,2017,0.0,0.0,47,0,1,0.0,66.0,236220.0,0,0.7857142857142857,4.167,14.286,1,taina_griffith
0,13387,1,2012,0,3958.0,463.0,36771,33,0,0.0,0.0,0.0,1,0.4347826086956522,0.0,0.0,1,EmmaDingle
0,439,0,2010,2017,0.0,2.0,10,0,4,0.0,2.0,818.0,0,0.4545454545454546,8.25,28.286,1,Gabby143ILY
1,1853,1,2010,2023,21.0,5464453.0,232,1000,5,8.0,90.0,448954.0,0,1.0,8.25,28.286,1,ARMurugadoss
0,1362,1,2015,0,60.0,3.0,944,1,0,0.0,0.0,0.0,0,0.2666666666666667,0.0,0.0,0,vicentecruz2016
0,5538,1,2009,2021,493.0,466.0,2640,2,6,0.0,128.0,396415.0,0,0.1999999999999999,5.625,19.286,0,pichapriska
1,583,0,2013,2022,92.0,1041118.0,4537,2327,1,0.0,40.0,186742.0,1,0.75,8.333,28.571,1,BenSimmons25
0,3069,1,2012,2017,0.0,22.0,2160,0,1,0.0,132.0,325655.0,0,0.0,5.5,18.857,0,baregoods
0,2843,0,2012,2017,4.0,15.0,2038,0,4,0.0,132.0,423219.0,0,0.8333333333333334,5.542,19.0,0,NalmaryCasablan
0,4667,0,2012,2023,380.0,292.0,1256,1,1,4.0,104.0,469968.0,0,0.9333333333333332,8.292,28.429,1,JarenHumphreys
1,80523,1,2010,2023,1890.0,436404.0,34798,1249,1,51.0,96.0,66199.0,0,0.7692307692307692,8.208,28.143,1,barrybateman
0,163,0,2017,2017,0.0,1.0,27,0,3,0.0,132.0,76778.0,0,0.0,5.625,19.286,0,zvsnfaqrgk1359
0,26582,0,2013,2020,5683.0,8108.0,38,23,1,0.0,88.0,58431.0,0,0.5294117647058824,7.708,26.429,0,SelenaGCrew
0,12209,0,2009,2018,4614.0,557.0,1123,6,1,0.0,172.0,94958.0,0,0.0,7.208,24.714,0,veganicecream
0,2139,0,2009,2022,92.0,10.0,1543,0,1,0.0,136.0,386047.0,0,1.0,6.417,22.0,0,sp3n
0,2069,1,2015,2017,0.0,11.0,1907,31,1,0.0,182.0,88578.0,1,0.0,7.708,26.429,0,uimetccolumbia
0,81,0,2011,2018,0.0,4.0,71,0,7,0.0,46.0,70088.0,0,0.0769230769230768,2.833,9.714,0,nursekars
0,560,1,2016,2017,0.0,25.0,241,0,1,0.0,124.0,280152.0,0,0.0769230769230768,5.208,17.857,1,Melanated_Ntr
0,31240,0,2011,0,373.0,450.0,30798,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,iffahhhhh_
0,5458,1,2009,2023,63.0,128.0,7256,0,1,1.0,10.0,53.0,0,0.0999999999999999,8.333,28.571,1,Turkeyboy1
0,120,0,2015,2020,394.0,31.0,179,0,1,0.0,72.0,16232.0,1,0.1111111111111111,4.958,17.0,1,sashafoxx
0,52117,1,2009,2023,573.0,620.0,106049,2,1,46.0,16.0,39063.0,0,0.0,8.333,28.571,1,duvaltilidie
0,48950,0,2012,0,1817.0,475.0,35615,8,0,0.0,0.0,0.0,0,0.1111111111111111,0.0,0.0,1,heyitsmjc
0,0,0,2023,0,15.0,1.0,4,0,0,0.0,0.0,0.0,0,0.9090909090909092,0.0,0.0,1,LenaaRenee
0,18865,1,2012,2023,249.0,203382.0,65177,0,8,35.0,178.0,824807.0,1,0.6666666666666667,8.333,28.571,1,bayhazar
1,3755,1,2014,2023,61.0,760874.0,9368,239,1,4.0,2.0,52029.0,0,0.3333333333333333,8.333,28.571,1,paro_nair
0,1197,1,2010,2019,548.0,377.0,479,10,1,0.0,138.0,354675.0,1,0.3125,6.167,21.143,1,jonestvhalifax
0,1045,1,2009,2022,271.0,76.0,1290,3,1,0.0,116.0,931561.0,0,0.6666666666666667,8.333,28.571,1,MGMuellner
1,3305,1,2010,2023,186.0,4687543.0,698,8698,1,0.0,70.0,33732.0,1,0.5,8.292,28.429,1,iamjamiefoxx
1,1503,0,2016,2022,144.0,2477667.0,2285,1024,1,0.0,70.0,152267.0,0,0.9230769230769232,8.25,28.286,1,camilamendes
0,24293,1,2008,2023,1219.0,1175.0,58414,23,1,29.0,50.0,33171.0,0,0.5625,8.25,28.286,1,anastasiab
0,2943,0,2011,2017,0.0,6.0,2092,0,1,0.0,140.0,442808.0,0,0.0999999999999999,5.833,20.0,0,Dask8er789
0,3646,0,2015,2022,56.0,78.0,12580,0,4,0.0,122.0,1419259.0,0,0.3,6.083,20.857,1,Andrew0354
0,134,1,2011,2017,0.0,25.0,4,0,1,0.0,14.0,2850.0,0,0.0909090909090909,5.5,18.857,1,three1two7
0,3144,1,2011,0,361.0,148.0,5365,5,0,0.0,0.0,0.0,0,0.0833333333333333,0.0,0.0,1,bloodfireink
0,1235,1,2015,2017,0.0,0.0,1235,0,1,0.0,24.0,8501.0,0,0.25,1.0,3.429,0,xymonasynazo
0,23605,1,2013,2022,3942.0,1962.0,139007,20,1,0.0,126.0,257834.0,0,0.0588235294117647,8.042,27.571,1,TheOneMainChick
1,32209,1,2011,2023,464.0,233297.0,6371,588,1,8.0,2.0,5076.0,1,0.2352941176470588,8.333,28.571,1,LopyrevaVika
1,67130,1,2009,2023,1019.0,2461270.0,24427,6582,1,14.0,130.0,43817.0,1,0.3571428571428571,8.292,28.429,1,TRINArockstarr
0,235,0,2016,2017,0.0,4.0,97,0,1,0.0,128.0,108195.0,0,0.4666666666666667,7.25,24.857,1,Altarusso2906_J
1,19332,1,2009,2023,854.0,1205126.0,4441,2306,9,19.0,50.0,343347.0,1,0.3333333333333333,8.333,28.571,1,gleisi
1,32191,0,2010,2023,2717.0,1857455.0,4820,2469,10,0.0,2.0,24787.0,1,0.5,8.333,28.571,1,_danielmartin_
0,1471,0,2014,2022,497.0,37.0,1123,0,1,0.0,148.0,1078734.0,0,0.4499999999999999,8.083,27.714,0,shahidtoori
0,0,1,2021,0,23.0,5.0,24,0,0,0.0,0.0,0.0,1,0.1999999999999999,0.0,0.0,1,AlexTheProducer
0,19218,1,2013,2023,159.0,220.0,34317,2,1,0.0,162.0,922198.0,0,0.2222222222222222,7.833,26.857,1,davesfybr
0,3264,1,2014,0,343.0,13.0,2423,0,0,0.0,0.0,0.0,0,0.2142857142857143,0.0,0.0,0,lulaluleiaa
0,801,1,2017,0,107.0,39.0,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,pceoout
1,86301,1,2008,2023,1828.0,321910.0,45530,372,1,46.0,184.0,77581.0,1,0.6,8.292,28.429,1,dilipkpandey
0,81,0,2013,2018,0.0,15.0,399,0,1,0.0,52.0,348002.0,0,0.1538461538461538,3.167,10.857,0,ChanMnkjl
1,39768,1,2008,2023,887.0,84572.0,7561,464,1,30.0,66.0,22969.0,1,0.75,8.333,28.571,1,roshanabbas
